vendor,bag_name,notes,details,size,price
Coffee Manufactory,02 Filter,"Tangerine, Molasses, Nutmeg","['Caturra', 'Washed', '3300 - 5200 ft']",12 oz,$18.50
Panther,East Coast Espresso,"Chocolate, Black Cherry, Sugarcane",['N/A'],12 oz,$16.00
Doma,Veloce,"Orange, Peach, Brown Sugar","['Certified Organic', 'Central America']",12 oz,$20.25
Portola,Terra Incognito,"Red Fruit, Floral, Dark Chocolate",['N/A'],12 oz,$19.95
Gimme,Kenya Kabngetuny Fairtrade,"Honey, Mango, Plum","['Batian', 'Fair Trade', 'Washed', '2000 - 2000 ft', 'Africa', 'Kenya']",12 oz,$19.00
Panther,Mejor,"Cherry, Citrus, Milk Chocolate","['Castillo', 'Organic', 'Washed', '1700 - 1900 ft', 'South America', 'Colombia']",12 oz,$19.00
Gimme,Guatemala Guayab,"Apricot, Tangerine, Peach Nectar","['Typica', 'Fair Trade, Certified Organic', 'Washed', '1000 - 1600 ft', 'Central America', 'Guatemala']",12 oz,$16.00
Counter Culture Coffee,Fast Forward,"Cream, Nutty, Sweet","['Direct Trade, Certified Organic, B Corp', 'Washed']",12 oz,$18.00
Thou Mayest,Alter Ego,"Milk Chocolate, Honeycrisp Apple, Syrupy","['1200 - 1600 ft', 'South America', 'Brazil']",12 oz,$17.50
Thou Mayest,Smooth Operator,"Milk Chocolate, Cherry, Syrupy","['South America', 'Brazil']",12 oz,$17.50
N/A,N/A,N/A,['N/A'],N/A,N/A
Klatch,Belle Espresso,"Strawberry, Red Fruit, Citrus","['2 - 10 ft', 'Asia', 'Colombia']",310 gr,$17.95
Cuvee,Ethiopia,"Berry, Red Wine, Cherry","['Direct Trade', '1950 - 2300 ft', 'Africa', 'Ethiopia']",12 oz,$17.25
Ladro,Fremont,"Baked Pear, Molasses, Almond","['Fair Trade, Certified Organic']",310 gr,$19.95
Necessary,Ethiopia,"Caramel, Peach","['Heirloom', 'B Corp', 'Washed', '1800 - 2300 ft', 'Africa', 'Ethiopia']",325 gr,$16.99
Yes Plz,Yes Plz Single Origin,"Baked Pear, Fresh Citrus, Apple","['Bourbon', 'Washed', 'Ethiopia']",12 oz,$22.00
Camber,Skyline Espresso,"Cocoa Powder, Blackberry, Orange","['1600 - 2100 ft', 'Colombia']",12 oz,$19.00
Ladro,Fremont,"Baked Pear, Molasses, Almond","['Fair Trade, Certified Organic']",12 oz,$17.00
Olympia,Little Buddy,"Berry, Stone Fruit, Chocolate",['N/A'],12 oz,$22.00
Wonderstate,Organic Peru San Fernando,"Maple, Meyer Lemon, Roasted Almond","['Multi-Varietal', 'Certified Organic', 'Washed', '2000 - 2400 ft', 'South America', 'Peru']",12 oz,$19.00
Ruby,Organic Tomorrow Seasonal Project,"Maple, Milk Chocolate, Raisin","['Bourbon', 'Certified Organic', 'Washed', '1200 - 1350 ft', 'South America', 'Peru']",12 oz,$16.50
Wonderstate,Organic Summer Solstice,"Blackberry, Citrus, Cooked Peach","['Certified Organic', '1600 - 2300 ft']",12 oz,$18.00
Quills,Southern Gothic,"Milk Chocolate, Caramel","['South America', 'Brazil']",12 oz,$15.00
N/A,N/A,N/A,['N/A'],N/A,N/A
Panther,Cyesha,"Apricot, Cranberry, Lemon","['Bourbon', 'Washed', 'Africa', 'Rwanda']",12 oz,$23.00
Methodical,"Colombia, Andres Cardona","Dark Chocolate, Strawberry","['Caturra', 'Direct Trade', 'Natural', '1650 - 1650 ft', 'South America', 'Colombia']",12 oz,$24.00
Methodical,"Colombia, Andres Cardona","Dark Chocolate, Strawberry","['Caturra', 'Direct Trade', 'Natural', '1650 - 1650 ft', 'South America', 'Colombia']",12 oz,$36.00
Groundwork,Colombia,"Tangerine, Milk Chocolate, Clover Honey","['Castillo', 'Washed', '1500 - 1750 ft', 'South America', 'Colombia']",12 oz,$16.95
KLLR,Africa,"Floral, Black Tea, Peach","['Africa', 'Ethiopia']",12 oz,$24.00
Cuvee,West Pole,"Cocoa Nib, Spice, Molasses","['Direct Trade', '1000 - 2000 ft']",12 oz,$15.00
Methodical,"Honduras, Walter Bautista","Blackberry, Orange, Blackcurrant","['Parainema', 'Direct Trade', 'Honey', '1500 - 1500 ft', 'Central America', 'Honduras']",12 oz,$28.00
Klatch,Colombia Monteblanco Rodrigo Sanchez,"Lavender, White peach","['Anaerobic', 'South America', 'Colombia']",310 gr,$24.95
Klatch,El Salvador Las Mercedes Honey,"Raisin, Sugarcane, Honeysuckle","['Honey', 'Central America', 'El Salvador']",N/A,N/A
Klatch,Ethiopia Buku Hambela Natural,"Blueberry, Cantaloupe, Peach","['Natural', 'Africa', 'Ethiopia']",310 gr,$22.95
Camber,Moonrise,"Honey, Tangerine","['1640 - 2100 ft', 'Ethiopia']",12 oz,$22.00
Temple,Three Pillars Blend,"Cocoa Powder, Brown Sugar, Dried Fruit","['1100 - 2000 ft', 'Central America']",12 oz,$17.75
